# any empty lines and lines starting with '#' symbol is ignored
#
# The file should contain exactly two sections: router and link, each starting with the corresponding keyword
#
# router section defines topology nodes and their relative positions (e.g., to use in visualizer)
router

# each line in this section represents one router and should have the following data
# node               comment          yPos    xPos


# ----------- ----consumer nodes ---------------
consumer-1        consumer-node       0       0
consumer-2        consumer-node       0       0
consumer-3        consumer-node       0       0
consumer-4        consumer-node       0       0
consumer-5        consumer-node       0       0
consumer-6        consumer-node       0       0
consumer-7        consumer-node       0       0
consumer-8        consumer-node       0       0
consumer-9        consumer-node       0       0
consumer-10       consumer-node       0       0

consumer-11       consumer-node       0       0
consumer-12       consumer-node       0       0
consumer-13       consumer-node       0       0
consumer-14       consumer-node       0       0  
consumer-15       consumer-node       0       0
consumer-16       consumer-node       0       0  
consumer-17       consumer-node       0       0
consumer-18       consumer-node       0       0  
consumer-19       consumer-node       0       0
consumer-20       consumer-node       0       0         

consumer-21       consumer-node       0       0
consumer-22       consumer-node       0       0
consumer-23       consumer-node       0       0
consumer-24       consumer-node       0       0  
consumer-25       consumer-node       0       0
consumer-26       consumer-node       0       0  
consumer-27       consumer-node       0       0
consumer-28       consumer-node       0       0  
consumer-29       consumer-node       0       0
consumer-30       consumer-node       0       0  

consumer-31       consumer-node       0       0
consumer-32       consumer-node       0       0
consumer-33       consumer-node       0       0
consumer-34       consumer-node       0       0  
consumer-35       consumer-node       0       0
consumer-36       consumer-node       0       0  
consumer-37       consumer-node       0       0
consumer-38       consumer-node       0       0  
consumer-39       consumer-node       0       0
consumer-40       consumer-node       0       0  

consumer-41       consumer-node       0       0
consumer-42       consumer-node       0       0
consumer-43       consumer-node       0       0
consumer-44       consumer-node       0       0  
consumer-45       consumer-node       0       0
consumer-46       consumer-node       0       0  
consumer-47       consumer-node       0       0
consumer-48       consumer-node       0       0  
consumer-49       consumer-node       0       0
consumer-50       consumer-node       0       0

consumer-51       consumer-node       0       0
consumer-52       consumer-node       0       0
consumer-53       consumer-node       0       0
consumer-54       consumer-node       0       0  
consumer-55       consumer-node       0       0
consumer-56       consumer-node       0       0  
consumer-57       consumer-node       0       0
consumer-58       consumer-node       0       0  
consumer-59       consumer-node       0       0
consumer-60       consumer-node       0       0  

consumer-61       consumer-node       0       0
consumer-62       consumer-node       0       0
consumer-63       consumer-node       0       0
consumer-64       consumer-node       0       0  
consumer-65       consumer-node       0       0
consumer-66       consumer-node       0       0  
consumer-67       consumer-node       0       0
consumer-68       consumer-node       0       0  
consumer-69       consumer-node       0       0
consumer-70       consumer-node       0       0  

consumer-71       consumer-node       0       0
consumer-72       consumer-node       0       0
consumer-73       consumer-node       0       0
consumer-74       consumer-node       0       0  
consumer-75       consumer-node       0       0
consumer-76       consumer-node       0       0  
consumer-77       consumer-node       0       0
consumer-78       consumer-node       0       0  
consumer-79       consumer-node       0       0
consumer-80       consumer-node       0       0  

consumer-81       consumer-node       0       0
consumer-82       consumer-node       0       0
consumer-83       consumer-node       0       0
consumer-84       consumer-node       0       0  
consumer-85       consumer-node       0       0
consumer-86       consumer-node       0       0  
consumer-87       consumer-node       0       0
consumer-88       consumer-node       0       0  
consumer-89       consumer-node       0       0
consumer-90       consumer-node       0       0  

consumer-91       consumer-node       0       0
consumer-92       consumer-node       0       0
consumer-93       consumer-node       0       0
consumer-94       consumer-node       0       0  
consumer-95       consumer-node       0       0
consumer-96       consumer-node       0       0  
consumer-97       consumer-node       0       0
consumer-98       consumer-node       0       0  
consumer-99       consumer-node       0       0
consumer-100      consumer-node       0       0 

consumer-101      consumer-node       0       0
consumer-102      consumer-node       0       0
consumer-103      consumer-node       0       0
consumer-104      consumer-node       0       0  
consumer-105      consumer-node       0       0
consumer-106      consumer-node       0       0  
consumer-107      consumer-node       0       0
consumer-108      consumer-node       0       0  
consumer-109      consumer-node       0       0
consumer-110      consumer-node       0       0   

consumer-111      consumer-node       0       0
consumer-112      consumer-node       0       0
consumer-113      consumer-node       0       0
consumer-114      consumer-node       0       0  
consumer-115      consumer-node       0       0
consumer-116      consumer-node       0       0  
consumer-117      consumer-node       0       0
consumer-118      consumer-node       0       0  
consumer-119      consumer-node       0       0
consumer-120      consumer-node       0       0

consumer-121      consumer-node       0       0
consumer-122      consumer-node       0       0
consumer-123      consumer-node       0       0
consumer-124      consumer-node       0       0  
consumer-125      consumer-node       0       0
consumer-126      consumer-node       0       0  
consumer-127      consumer-node       0       0
consumer-128      consumer-node       0       0  
consumer-129      consumer-node       0       0
consumer-130      consumer-node       0       0 

consumer-131      consumer-node       0       0
consumer-132      consumer-node       0       0
consumer-133      consumer-node       0       0
consumer-134      consumer-node       0       0  
consumer-135      consumer-node       0       0
consumer-136      consumer-node       0       0  
consumer-137      consumer-node       0       0
consumer-138      consumer-node       0       0  
consumer-139      consumer-node       0       0
consumer-140      consumer-node       0       0 

consumer-141      consumer-node       0       0
consumer-142      consumer-node       0       0
consumer-143      consumer-node       0       0
consumer-144      consumer-node       0       0  
consumer-145      consumer-node       0       0
consumer-146      consumer-node       0       0  
consumer-147      consumer-node       0       0
consumer-148      consumer-node       0       0  
consumer-149      consumer-node       0       0
consumer-150      consumer-node       0       0 

consumer-151      consumer-node       0       0
consumer-152      consumer-node       0       0
consumer-153      consumer-node       0       0
consumer-154      consumer-node       0       0  
consumer-155      consumer-node       0       0
consumer-156      consumer-node       0       0  
consumer-157      consumer-node       0       0
consumer-158      consumer-node       0       0  
consumer-159      consumer-node       0       0
consumer-160      consumer-node       0       0 

consumer-161      consumer-node       0       0
consumer-162      consumer-node       0       0
consumer-163      consumer-node       0       0
consumer-164      consumer-node       0       0  
consumer-165      consumer-node       0       0
consumer-166      consumer-node       0       0  
consumer-167      consumer-node       0       0
consumer-168      consumer-node       0       0  
consumer-169      consumer-node       0       0
