# any empty lines and lines starting with '#' symbol is ignored
#
# The file should contain exactly two sections: router and link, each starting with the corresponding keyword
#
# router section defines topology nodes and their relative positions (e.g., to use in visualizer)
router

# each line in this section represents one router and should have the following data
# node     comment          yPos    xPos



########### access-network-A #############
RA          NODE-1            7     7

C1A         CONSUMER          5     5
C2A         CONSUMER          5     4
C3A         CONSUMER          5     3
C4A         CONSUMER          5     2
C5A         CONSUMER          5     1
C6A         CONSUMER          4     5
C7A         CONSUMER          4     4
C8A         CONSUMER          4     3
C9A         CONSUMER          4     2
C10A        CONSUMER          4     1
C11A        CONSUMER          3     5
C12A        CONSUMER          3     4
C13A        CONSUMER          3     3
##########################################
P1A         PRODUCER          6       5
P3A         PRODUCER          6       3
P5A         PRODUCER          6       1
P7A         PRODUCER          4       6
P9A         PRODUCER          2       6
##########################################



#--------- access-network-B---------------#
RB          NODE-1            7       11

C1B         CONSUMER          5       13
C2B         CONSUMER          5       14
C3B         CONSUMER          5       15
C4B         CONSUMER          5       16
C5B         CONSUMER          5       17
C6B         CONSUMER          4       13
C7B         CONSUMER          4       14
C8B         CONSUMER          4       15
C9B         CONSUMER          4       16
C10B        CONSUMER          4       17
C11B        CONSUMER          3       13
C12B        CONSUMER          3       14
C13B        CONSUMER          3       15
##########################################
P1B         PRODUCER          6       13
P3B         PRODUCER          6       15
P5B         PRODUCER          6       17
P7B         PRODUCER          4       12
P9B         PRODUCER          2       12
##########################################

########### access-network-C #############
RC          NODE-1            11      11

C1C         CONSUMER          13      13
C2C         CONSUMER          13      14
C3C         CONSUMER          13      15
C4C         CONSUMER          13      16
C5C         CONSUMER          13      17
C6C         CONSUMER          14      13
C7C         CONSUMER          14      14
C8C         CONSUMER          14      15
C9C         CONSUMER          14      16
C10C        CONSUMER          14      17
C11C        CONSUMER          15      13
C12C        CONSUMER          15      14
##########################################
P1C         PRODUCER          12      13
P3C         PRODUCER          12      15
P5C         PRODUCER          12      17
P7C         PRODUCER          14      12
P9C         PRODUCER          16      12
##########################################



#--------- access-network-D---------------#
RD          NODE-1            11      7

C1D         CONSUMER          13      5
C2D         CONSUMER          13      4
C3D         CONSUMER          13      3
C4D         CONSUMER          13      2
C5D         CONSUMER          13      1
C6D         CONSUMER          14      5
C7D         CONSUMER          14      4
C8D         CONSUMER          14      3
C9D         CONSUMER          14      2
C10D        CONSUMER          14      1
C11D        CONSUMER          15      5
C12D        CONSUMER          15      4
##########################################
P1D         PRODUCER          12      5
P3D         PRODUCER          12      3
P5D         PRODUCER          12      1
P7D         PRODUCER          14      6
P9D         PRODUCER          16      6
##########################################



########### core-network  #############
R1        NODE              10      8
R2        NODE              10      10
R3        NODE              9       8
R4        NODE              9       9
R5        NODE              9       10
R6        NODE              8       8
R7        NODE              8       8.5
R8        NODE              8       10



# Note that `node` can be any string. It is possible to access to the node by name using Names::Find, see examples.

# link section defines point-to-point links between nodes and characteristics of these links
link

# Each line should be in the following format (only first two are required, the rest can be omitted)

# srcNode   dstNode     bandwidth   metric  delay   queue

# bandwidth: link bandwidth

# metric: routing metric

# delay:  link delay

# queue:  MaxPackets for transmission queue on the link (both directions)



####### access-network-A #####################
C1A       RA     1Gbps     1    10ms     10
C2A       RA     1Gbps     1    10ms     10
C3A       RA     1Gbps     1    10ms     10
C4A       RA     1Gbps     1    10ms     10
C5A       RA     1Gbps     1    10ms     10
C6A       RA     1Gbps     1    10ms     10
C7A       RA     1Gbps     1    10ms     10
C8A       RA     1Gbps     1    10ms     10
C9A       RA     1Gbps     1    10ms     10
C10A      RA     1Gbps     1    10ms     10
C11A      RA     1Gbps     1    10ms     10
C12A      RA     1Gbps     1    10ms     10
C13A      RA     1Gbps     1    10ms     10
#############################################
P1A       RA     1Gbps     1    10ms     10
P3A       RA     1Gbps     1    10ms     10
P5A       RA     1Gbps     1    10ms     10
P7A       RA     1Gbps     1    10ms     10
P9A       RA     1Gbps     1    10ms     10


####### access-network-B #####################
C1B       RB     1Gbps     1    10ms     10
C2B       RB     1Gbps     1    10ms     10
C3B       RB     1Gbps     1    10ms     10
